FBgn0010247	P35875
FBgn0000500	P09040
FBgn0261436	Q9VMY9
FBgn0015331	Q9V3C0
FBgn0010225	Q07171
FBgn0010225	Q07171
FBgn0010225	Q07171
FBgn0010225	Q07171
FBgn0010225	Q07171
FBgn0010225	Q07171
FBgn0010225	Q07171
FBgn0041621	P82986
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0041605	Q8IPM8
FBgn0027930	A0A126GUP6
FBgn0027930	A0A126GUP6
FBgn0037232	Q9VN03
FBgn0027866	Q9V468
FBgn0027866	Q9V468
FBgn0037238	Q9VN12
FBgn0037238	Q9VN12
FBgn0037238	Q9VN12
FBgn0037238	Q9VN12
FBgn0037240	Q9VN14
FBgn0003882	P22812
FBgn0086605	Q9VN19
FBgn0086605	Q9VN19
FBgn0086605	Q9VN19
FBgn0037249	Q9VN25
FBgn0037249	Q9VN25
FBgn0037251	Q9VN27
FBgn0037251	Q9VN27
FBgn0037262	Q8IH24
FBgn0037262	Q8IH24
FBgn0037262	Q8IH24
FBgn0037262	Q8IH24
FBgn0037262	Q8IH24
FBgn0037263	Q9VN41
FBgn0037265	Q9VN45
FBgn0037265	Q9VN45
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0263346	Q0KIC3
FBgn0037270	Q9VN50
FBgn0027570	A0A0B4K692
FBgn0027570	A0A0B4K692
FBgn0027570	A0A0B4K692
FBgn0037279	Q7JZB4
FBgn0037279	Q7JZB4
FBgn0037279	Q7JZB4
FBgn0037279	Q7JZB4
FBgn0003002	P39768
FBgn0004913	P35600
FBgn0004913	P35600
FBgn0004436	P25153
FBgn0004436	P25153
FBgn0010313	P41046
FBgn0010313	P41046
FBgn0010313	P41046
FBgn0010313	P41046
FBgn0010313	P41046
FBgn0087005	Q9VN91
FBgn0260462	Q9VN93
FBgn0260462	Q9VN93
FBgn0260462	Q9VN93
FBgn0037305	Q9VN95
FBgn0037307	Q9VN97
FBgn0037310	Q9VNA0
FBgn0037313	Q9VNA4
FBgn0037313	Q9VNA4
FBgn0250746	Q9VNA5
FBgn0250746	Q9VNA5
FBgn0003275	Q24320
FBgn0086695	Q9VNA8
