t_name	FPKM	H3K27ac	H3K27me3	H3K4me1	H3K4me3	H3K9ac
FBtr0114258	0.0	-1.9896900000000002	-1.6320700000000001	-2.85921	-1.97848	-0.0291726
FBtr0346770	0.0	-0.504341	-1.23007	-1.1363299999999998	1.8930900000000002	-0.0172542
FBtr0302440	0.0	-3.21789	1.29253	-2.22542	-0.788589	-0.0378589
FBtr0302347	23.712564	-1.4836200000000002	0.09248839999999998	-1.33446	0.0312796	-0.0335865
FBtr0346769	0.0	-1.87348	-3.32844	-2.2972799999999998	-1.87205	-0.0269795
FBtr0345282	0.0	-2.77055	-1.99518	-2.29285	0.66079	-0.029552600000000002
FBtr0345281	0.0	-2.77055	-1.99518	-2.3026	0.6652939999999999	-0.029552600000000002
FBtr0300207	0.0	-0.7991560000000001	-1.5317100000000001	-1.40505	0.6987979999999999	-0.0157937
FBtr0113885	10.997173	-2.09409	-3.16293	-2.7509900000000003	-0.982768	-0.0384779
FBtr0301810	19.067923999999998	4.54598	-2.5253	-4.4766	17.5824	-0.058678999999999995
FBtr0113895	6.315716	9.885689999999999	1.75852	-1.69685	11.5578	-0.0273962
FBtr0345179	119.325905	9.77027	1.44315	-1.7739200000000002	11.9828	-0.027776599999999995
FBtr0301812	6.421	5.0934099999999995	-0.12097999999999999	-0.90827	17.0663	-0.014332
FBtr0113990	26.929454999999997	-2.5024	-7.9367	-4.78674	9.15554	-0.07007949999999999
FBtr0113991	0.0	-2.5024	-7.9367	-4.78674	9.15554	-0.07007949999999999
FBtr0344573	0.0	-2.5024	-7.9367	-4.78674	9.15554	-0.07007949999999999
FBtr0113989	8.754889	-2.5024	-7.9367	-4.78674	9.15554	-0.07007949999999999
FBtr0336454	0.0	-4.45291	-4.28744	-2.7970200000000003	-1.4369100000000001	-0.0491703
FBtr0339974	0.0	-4.45291	-4.28744	-2.7970200000000003	-1.4369100000000001	-0.0491703
FBtr0301942	0.0	0.151753	-2.04262	-3.48622	-1.08721	-0.0506824
FBtr0113694	0.0	0.286117	-0.0735306	-0.5283329999999999	0.5290279999999999	-0.000161781
FBtr0302850	0.0	0.286117	-0.0735306	-0.5283329999999999	0.5290279999999999	-0.000161781
FBtr0113687	0.0	-2.07187	-5.30894	-3.06205	0.887077	0.0
FBtr0113690	0.0	-2.07187	-5.30894	-3.06205	0.887077	0.0
FBtr0113692	0.0	-2.07187	-5.30894	-3.06205	0.887077	0.0
FBtr0302846	0.0	-2.07187	-5.30894	-3.06205	0.887077	0.0
FBtr0302847	0.0	-2.07187	-5.30894	-3.06205	0.887077	0.0
FBtr0302848	0.0	-2.07187	-5.30894	-3.06205	0.887077	0.0
FBtr0302849	0.0	-2.07187	-5.30894	-3.06205	0.887077	0.0
FBtr0114267	0.0	-5.69649	-3.49641	-4.29675	-3.3079	0.0
FBtr0333189	0.0	-0.8577620000000001	-2.2248099999999997	-1.85234	0.6702819999999999	0.0
FBtr0301809	0.0	-3.1096	-0.446429	-2.84548	3.45129	0.0
FBtr0078962	0.0	2.00762	-5.292269999999999	0.46375600000000006	-1.46881	0.0
FBtr0078961	0.0	2.00762	-5.292269999999999	0.46375600000000006	-1.46881	0.0
FBtr0308946	0.0	0.747263	-6.00774	-5.21933	1.47159	0.0
FBtr0078989	0.0	-0.4172	-0.697792	-1.9732	-0.09544939999999999	0.0
FBtr0308945	0.0	-2.3472299999999997	-3.5802699999999996	-4.01155	1.04399	0.0
FBtr0078964	10.934341	0.9994129999999999	-12.8751	-6.44766	3.3941800000000004	0.0
FBtr0306022	4.575307	0.9994129999999999	-12.8751	-6.44766	3.3941800000000004	0.0
FBtr0336703	0.0	0.9994129999999999	-12.8751	-6.44766	3.3941800000000004	0.0
